# Untangle file format: One statement per line.  Two kinds of statements:
# v: $x_coord $y_coord    -> Create a vertex with x and y coordinates, 0 <= coord <= 1.
# e: $vert1 $vert2        -> Create an edge between vertex #1 and #2 (0-based index)
#                            Both vertices must already be declared.
v: 0.551181, 0.417520
v: 0.519763, 0.974131
v: 0.231681, 0.890689
v: 0.748809, 0.011500
v: 0.978316, 0.158653
v: 0.397827, 0.466675
v: 0.220201, 0.646724
v: 0.368846, 0.192727
v: 0.139879, 0.204762
v: 0.479907, 0.105731
v: 0.714634, 0.933992
v: 0.330808, 0.393939
v: 0.046970, 0.276081
v: 0.183615, 0.150910
e: 0, 1
e: 0, 2
e: 0, 3
e: 0, 4
e: 0, 5
e: 0, 6
e: 0, 7
e: 0, 8
e: 0, 9
e: 0, 10
e: 0, 11
e: 0, 12
e: 0, 13
e: 1, 2
e: 1, 9
e: 1, 11
e: 1, 12
e: 1, 13
e: 2, 6
e: 2, 11
e: 2, 12
e: 3, 4
e: 3, 7
e: 3, 8
e: 3, 10
e: 3, 12
e: 4, 8
e: 5, 7
e: 5, 12
e: 7, 12
e: 8, 10
e: 9, 12
e: 11, 13
