# Untangle file format: One statement per line.  Two kinds of statements:
# v: $x_coord $y_coord    -> Create a vertex with x and y coordinates, 0 <= coord <= 1.
# e: $vert1 $vert2        -> Create an edge between vertex #1 and #2 (0-based index)
#                            Both vertices must already be declared.
v: 0.594917, 0.191574
v: 0.792013, 0.184444
v: 0.877590, 0.571335
v: 0.443824, 0.229917
v: 0.174436, 0.617160
v: 0.154436, 0.172582
v: 0.883775, 0.749744
v: 0.657838, 0.969161
v: 0.080294, 0.612972
v: 0.676331, 0.503183
v: 0.084543, 0.044211
v: 0.018901, 0.189478
v: 0.331664, 0.261295
v: 0.424975, 0.467821
v: 0.010290, 0.909298
v: 0.900199, 0.068928
v: 0.709793, 0.660062
v: 0.478023, 0.537246
v: 0.011989, 0.036308
v: 0.742885, 0.467234
e: 0, 1
e: 0, 2
e: 0, 3
e: 0, 4
e: 0, 5
e: 0, 6
e: 0, 7
e: 0, 8
e: 0, 9
e: 0, 10
e: 0, 11
e: 0, 12
e: 0, 13
e: 0, 14
e: 0, 15
e: 0, 16
e: 0, 17
e: 0, 18
e: 0, 19
e: 1, 4
e: 1, 10
e: 1, 11
e: 1, 13
e: 1, 16
e: 1, 19
e: 2, 4
e: 2, 5
e: 2, 6
e: 2, 8
e: 3, 11
e: 3, 17
e: 4, 5
e: 4, 8
e: 4, 16
e: 6, 8
e: 7, 16
e: 7, 19
e: 8, 12
e: 8, 15
e: 8, 18
e: 9, 14
e: 10, 11
e: 10, 13
e: 11, 17
e: 12, 15
e: 12, 18
e: 14, 15
e: 16, 19
