# Untangle file format: One statement per line.  Two kinds of statements:
# v: $x_coord $y_coord    -> Create a vertex with x and y coordinates, 0 <= coord <= 1.
# e: $vert1 $vert2        -> Create an edge between vertex #1 and #2 (0-based index)
#                            Both vertices must already be declared.
v: 0.342051, 0.700641
v: 0.820714, 0.162073
v: 0.015338, 0.771061
v: 0.515825, 0.533681
v: 0.942713, 0.676215
v: 0.480471, 0.011743
v: 0.789366, 0.010427
v: 0.819116, 0.704725
v: 0.697060, 0.960405
v: 0.262364, 0.925707
v: 0.008702, 0.043217
v: 0.350958, 0.104493
v: 0.576052, 0.718329
v: 0.390321, 0.637150
v: 0.155204, 0.296761
v: 0.211015, 0.855007
e: 0, 1
e: 0, 2
e: 0, 3
e: 0, 4
e: 0, 5
e: 0, 6
e: 0, 7
e: 0, 8
e: 0, 9
e: 0, 10
e: 0, 11
e: 0, 12
e: 0, 13
e: 0, 14
e: 0, 15
e: 1, 7
e: 1, 10
e: 1, 14
e: 2, 4
e: 2, 8
e: 2, 9
e: 2, 12
e: 3, 12
e: 3, 13
e: 3, 14
e: 4, 8
e: 4, 9
e: 5, 6
e: 5, 11
e: 5, 15
e: 6, 9
e: 7, 10
e: 7, 11
e: 7, 14
e: 9, 12
e: 11, 15
e: 12, 13
e: 12, 14
