# Untangle file format: One statement per line.  Two kinds of statements:
# v: $x_coord $y_coord    -> Create a vertex with x and y coordinates, 0 <= coord <= 1.
# e: $vert1 $vert2        -> Create an edge between vertex #1 and #2 (0-based index)
#                            Both vertices must already be declared.
v: 0.795320, 0.933624
v: 0.967793, 0.517389
v: 0.270971, 0.506347
v: 0.000735, 0.675352
v: 0.009269, 0.427004
v: 0.918477, 0.709742
v: 0.527514, 0.651934
v: 0.510254, 0.548363
v: 0.653271, 0.158435
v: 0.409063, 0.332318
v: 0.110405, 0.625560
v: 0.180524, 0.083474
v: 0.852979, 0.946112
v: 0.822615, 0.023775
v: 0.850095, 0.060932
v: 0.298750, 0.701557
v: 0.680741, 0.393210
v: 0.600958, 0.087013
v: 0.083673, 0.648923
v: 0.776472, 0.079452
v: 0.030366, 0.141645
v: 0.840791, 0.821734
v: 0.072423, 0.542650
v: 0.231160, 0.857911
v: 0.554396, 0.777538
v: 0.932807, 0.598418
v: 0.982937, 0.002973
v: 0.879175, 0.804223
v: 0.280462, 0.910845
v: 0.243836, 0.887600
e: 0, 1
e: 0, 2
e: 0, 3
e: 0, 4
e: 0, 5
e: 0, 6
e: 0, 7
e: 0, 8
e: 0, 9
e: 0, 10
e: 0, 11
e: 0, 12
e: 0, 13
e: 0, 14
e: 0, 15
e: 0, 16
e: 0, 17
e: 0, 18
e: 0, 19
e: 0, 20
e: 0, 21
e: 0, 22
e: 0, 23
e: 0, 24
e: 0, 25
e: 0, 26
e: 0, 27
e: 0, 28
e: 0, 29
e: 1, 4
e: 1, 25
e: 1, 27
e: 1, 29
e: 2, 7
e: 2, 12
e: 2, 15
e: 3, 6
e: 3, 24
e: 4, 27
e: 5, 13
e: 5, 16
e: 5, 26
e: 6, 16
e: 6, 18
e: 6, 21
e: 6, 22
e: 6, 24
e: 6, 26
e: 6, 28
e: 7, 15
e: 8, 22
e: 8, 28
e: 9, 20
e: 9, 29
e: 10, 18
e: 10, 24
e: 11, 25
e: 11, 27
e: 12, 14
e: 12, 15
e: 12, 26
e: 13, 16
e: 13, 19
e: 14, 26
e: 15, 25
e: 16, 17
e: 16, 19
e: 16, 26
e: 16, 28
e: 17, 19
e: 18, 20
e: 18, 23
e: 18, 24
e: 18, 29
e: 20, 23
e: 20, 29
e: 21, 22
e: 22, 28
e: 25, 27
e: 25, 29
